p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aleksandarmitrovic,2017,41,96,119,6,10,5095,70,16-09-1994,188.3333333,84.66666667,Serbia,Medium/Medium,61.66666667,80.83333333,76.33333333,Forward,23,0,0,0,0,0,23.87031091,3,2,0,0,0
aleksandarmitrovic,2020,17,96,1520,27,30,5095,70,16-09-1994,188.3333333,84.66666667,Serbia,Medium/Medium,61.66666667,80.83333333,76.33333333,Forward,26,119,6,19.83333333,41,6,23.87031091,3,2,0,96,41
alexandertettey,2019,46,160,2432,30,33,2432,30,04-04-1986,180,68,Norway,Medium/High,67.16666667,79.33333333,72.66666667,Midfielder,33,0,0,0,0,0,20.98765432,3.5,3,0,0,0
alexandrelacazette,2017,44,151,2291,32,33,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,83.16666667,74.5,84.5,Forward,26,0,0,0,0,0,24.00866919,4,2,0,0,0
alexandrelacazette,2018,19,151,2635,35,37,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,83.16666667,74.5,84.5,Forward,27,2291,32,71.59375,44,32,24.00866919,4,2,0,151,44
alexandrelacazette,2019,48,151,1965,30,34,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,83.16666667,74.5,84.5,Forward,28,4926,67,73.52238806,31.5,33.5,24.00866919,4,2,0,302,19
alexandrelacazette,2020,1,151,2015,31,36,8906,128,28-05-1991,175.1666667,73.66666667,France,High/High,83.16666667,74.5,84.5,Forward,29,6891,97,71.04123711,37,32.33333333,24.00866919,4,2,0,453,48
alexismacallister,2020,38,38,1178,21,30,1550,30,24-12-1998,175,71,Argentina,Medium/Medium,69.5,57.75,70,Midfielder,22,0,0,0,0,0,23.18367347,3,3,0,0,0
alexiwobi,2016,27,63,1522,26,35,8771,142,03-05-1996,181,73.5,Nigeria,Medium/Medium,77.83333333,63.83333333,71.83333333,Forward,20,0,0,0,0,0,22.4352126,3,2,0,0,0
alexiwobi,2018,1,63,2072,35,36,8771,142,03-05-1996,181,73.5,Nigeria,Medium/Medium,77.83333333,63.83333333,71.83333333,Forward,22,1522,26,58.53846154,27,26,22.4352126,3,2,0,63,27
alexiwobi,2019,35,63,1657,25,30,8771,142,03-05-1996,181,73.5,Nigeria,Medium/Medium,77.83333333,63.83333333,71.83333333,Forward,23,3594,61,58.91803279,14,30.5,22.4352126,3,2,0,126,1
alexmccarthy,2016,291,368,0,0,9,9595,101,03-12-1989,193,79,England,Medium/Medium,0,0,76,Goalkeeper,27,0,0,0,0,0,21.20862305,3,0,0,0,0
alexmccarthy,2018,52,368,2375,25,33,9595,101,03-12-1989,193,79,England,Medium/Medium,0,0,76,Goalkeeper,29,0,0,0,291,0,21.20862305,3,0,1,368,291
alexmccarthy,2019,9,368,2660,28,36,9595,101,03-12-1989,193,79,England,Medium/Medium,0,0,76,Goalkeeper,30,2375,25,95,171.5,12.5,21.20862305,3,0,0,736,52
alexmccarthy,2020,16,368,2850,30,37,9595,101,03-12-1989,193,79,England,Medium/Medium,0,0,76,Goalkeeper,31,5035,53,95,117.3333333,17.66666667,21.20862305,3,0,0,1104,9
alexpritchard,2017,132,191,1088,14,16,3261,44,03-05-1993,171,62,England,High/Medium,70.83333333,51,72.5,Midfielder,24,0,0,0,0,0,21.20310523,3.5,3,0,0,0
alexpritchard,2018,16,191,2173,30,37,3261,44,03-05-1993,171,62,England,High/Medium,70.83333333,51,72.5,Midfielder,25,1088,14,77.71428571,132,14,21.20310523,3.5,3,1,191,132
alexsmithies,2018,50,50,0,0,26,0,0,05-03-1990,188.1666667,88,England,Medium/Medium,0,0,71.33333333,Goalkeeper,28,0,0,0,0,0,24.85405695,3,0,0,0,0
alfiemawson,2018,193,671,1195,15,19,7370,80,19-01-1994,188.3333333,86,England,Medium/High,54.16666667,71,69.83333333,Defender,24,0,0,0,0,0,24.24622132,3.5,1,0,0,0
alirezajahanbakhsh,2018,68,201,1075,19,24,2008,50,11-08-1993,180,77,Iran,High/High,82.16666667,70.16666667,74.33333333,Forward,25,0,0,0,0,0,23.7654321,4,2,0,0,0
alirezajahanbakhsh,2019,31,201,339,10,19,2008,50,11-08-1993,180,77,Iran,High/High,82.16666667,70.16666667,74.33333333,Forward,26,1075,19,56.57894737,68,19,23.7654321,4,2,0,201,68
alirezajahanbakhsh,2020,78,201,594,21,27,2008,50,11-08-1993,180,77,Iran,High/High,82.16666667,70.16666667,74.33333333,Forward,27,1414,29,48.75862069,49.5,14.5,23.7654321,4,2,0,402,31
andrearanocchia,2016,11,50,1404,16,16,1404,16,16-02-1988,195,81,Italy,Low/Medium,41.33333333,72.66666667,75.83333333,Defender,28,0,0,0,0,0,21.30177515,2.5,1,0,0,0
andreaschristensen,2017,12,146,2178,27,36,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,64.5,69.66666667,77.16666667,Defender,21,0,0,0,0,0,22.09995299,2.5,1,0,0,0
andreaschristensen,2018,15,146,655,8,30,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,64.5,69.66666667,77.16666667,Defender,22,2178,27,80.66666667,12,27,22.09995299,2.5,1,0,146,12
andreaschristensen,2019,40,146,1842,21,35,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,64.5,69.66666667,77.16666667,Defender,23,2833,35,80.94285714,13.5,17.5,22.09995299,2.5,1,0,292,15
andreaschristensen,2020,54,146,1544,17,23,6219,73,10-04-1996,187.6666667,77.83333333,Denmark,Low/Medium,64.5,69.66666667,77.16666667,Defender,24,4675,56,83.48214286,22.33333333,18.66666667,22.09995299,2.5,1,0,438,40
andregray,2018,43,102,1465,29,30,6251,115,26-06-1991,180,78,England,High/Medium,88,73.5,74.5,Forward,27,0,0,0,0,0,24.07407407,3.5,2,0,0,0
andrewrobertson,2016,42,79,2887,33,34,15150,165,11-03-1994,178,63.66666667,Scotland,High/High,82.33333333,72.66666667,79.33333333,Defender,22,0,0,0,0,0,20.09426419,4,1,0,0,0
andrewrobertson,2017,2,79,2038,22,27,15150,165,11-03-1994,178,63.66666667,Scotland,High/High,82.33333333,72.66666667,79.33333333,Defender,23,2887,33,87.48484848,42,33,20.09426419,4,1,0,79,42
andrewrobertson,2018,20,79,3384,36,37,15150,165,11-03-1994,178,63.66666667,Scotland,High/High,82.33333333,72.66666667,79.33333333,Defender,24,4925,55,89.54545455,22,27.5,20.09426419,4,1,0,158,2
andrewrobertson,2019,11,79,3278,36,36,15150,165,11-03-1994,178,63.66666667,Scotland,High/High,82.33333333,72.66666667,79.33333333,Defender,25,8309,91,91.30769231,21.33333333,30.33333333,20.09426419,4,1,0,237,20
andrewrobertson,2020,4,79,3563,38,38,15150,165,11-03-1994,178,63.66666667,Scotland,High/High,82.33333333,72.66666667,79.33333333,Defender,26,11587,127,91.23622047,18.75,31.75,20.09426419,4,1,0,316,11
andrewsurman,2016,106,234,1927,22,22,5672,70,20-08-1986,178,73,England,Medium/Medium,59,69.4,74.8,Midfielder,30,0,0,0,0,0,23.0400202,3,3,0,0,0
andrewsurman,2018,82,234,1522,18,30,5672,70,20-08-1986,178,73,England,Medium/Medium,59,69.4,74.8,Midfielder,32,1927,22,87.59090909,106,22,23.0400202,3,3,0,234,106
andrewsurman,2019,46,234,251,5,29,5672,70,20-08-1986,178,73,England,Medium/Medium,59,69.4,74.8,Midfielder,33,3449,40,86.225,94,20,23.0400202,3,3,0,468,82
andriyyarmolenko,2018,222,419,485,9,9,1979,47,23-10-1989,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,29,0,0,0,0,0,22.91344446,3.5,2,0,0,0
andriyyarmolenko,2019,82,419,1061,23,24,1979,47,23-10-1989,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,30,485,9,53.88888889,222,9,22.91344446,3.5,2,1,419,222
andriyyarmolenko,2020,53,419,433,15,25,1979,47,23-10-1989,189.75,82.5,Ukraine,High/Medium,71.75,71.25,79.25,Forward,31,1546,32,48.3125,152,16,22.91344446,3.5,2,0,838,82
androstownsend,2019,65,65,1379,24,29,12810,168,16-07-1991,180,75.66666667,England,High/High,82.83333333,65,77.33333333,Midfielder,28,0,0,0,0,0,23.35390947,4,3,0,0,0
andycarroll,2016,285,949,1375,18,19,3905,82,06-01-1989,192.3333333,79,England,Medium/High,54.66666667,81.83333333,76.66666667,Forward,27,0,0,0,0,0,21.35590471,3.5,2,0,0,0
andycarroll,2017,99,949,874,16,21,3905,82,06-01-1989,192.3333333,79,England,Medium/High,54.66666667,81.83333333,76.66666667,Forward,28,1375,18,76.38888889,285,18,21.35590471,3.5,2,1,949,285
andycarroll,2018,337,949,505,12,16,3905,82,06-01-1989,192.3333333,79,England,Medium/High,54.66666667,81.83333333,76.66666667,Forward,29,2249,34,66.14705882,192,17,21.35590471,3.5,2,0,1898,99
andycarroll,2019,190,949,708,19,21,3905,82,06-01-1989,192.3333333,79,England,Medium/High,54.66666667,81.83333333,76.66666667,Forward,30,2754,46,59.86956522,240.3333333,15.33333333,21.35590471,3.5,2,1,2847,337
andycarroll,2020,38,949,443,17,35,3905,82,06-01-1989,192.3333333,79,England,Medium/High,54.66666667,81.83333333,76.66666667,Forward,31,3462,65,53.26153846,227.75,16.25,21.35590471,3.5,2,1,3796,190
angelgomes,2018,10,25,35,2,3,71,5,31-08-2000,168.25,61,England,Medium/Medium,74.25,40.75,66,Midfielder,18,0,0,0,0,0,21.54863124,3,3,0,0,0
angeloogbonna,2016,200,281,1850,20,24,12444,135,23-05-1988,191,86,Italy,Medium/Medium,64.66666667,75.83333333,78.33333333,Defender,28,0,0,0,0,0,23.57391519,3,1,0,0,0
angeloogbonna,2019,11,281,2937,31,36,12444,135,23-05-1988,191,86,Italy,Medium/Medium,64.66666667,75.83333333,78.33333333,Defender,31,1850,20,92.5,200,20,23.57391519,3,1,1,281,200
angeloogbonna,2020,70,281,2628,28,29,12444,135,23-05-1988,191,86,Italy,Medium/Medium,64.66666667,75.83333333,78.33333333,Defender,32,4787,51,93.8627451,105.5,25.5,23.57391519,3,1,0,562,11
anthonyknockaert,2020,20,38,0,0,3,4521,63,20-11-1991,172,69,France,High/High,74.5,64.16666667,74.83333333,Midfielder,29,0,0,0,0,0,23.32341806,4,3,0,0,0
anthonymartial,2016,7,285,1582,25,31,9291,136,05-12-1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,21,0,0,0,0,0,22.59513444,2.5,2,0,0,0
anthonymartial,2017,14,285,1671,30,34,9291,136,05-12-1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,22,1582,25,63.28,7,25,22.59513444,2.5,2,0,285,7
anthonymartial,2018,55,285,1704,27,30,9291,136,05-12-1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,23,3253,55,59.14545455,10.5,27.5,22.59513444,2.5,2,0,570,14
anthonymartial,2019,74,285,2723,32,32,9291,136,05-12-1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,24,4957,82,60.45121951,25.33333333,27.33333333,22.59513444,2.5,2,0,855,55
anthonymartial,2020,135,285,1611,22,23,9291,136,05-12-1995,183.4,76,France,Medium/Low,89.6,73,82.8,Forward,25,7680,114,67.36842105,37.5,28.5,22.59513444,2.5,2,0,1140,74
antoneerobinson,2020,10,194,2338,28,31,2338,28,08-08-1997,182,67,United States,Medium/Medium,85.5,63.25,68,Defender,23,0,0,0,0,0,20.22702572,3,1,0,0,0
anwarelghazi,2019,14,25,2148,34,37,3848,62,03-05-1995,189,88.83333333,Netherlands,Medium/Low,78.83333333,70.16666667,74.83333333,Midfielder,24,0,0,0,0,0,24.86865803,2.5,3,0,0,0
arongunnarsson,2018,79,332,2368,28,31,2368,28,22-04-1989,177.4,76.4,Iceland,Medium/High,61.8,75.6,70.8,Midfielder,29,0,0,0,0,0,24.27650301,3.5,3,0,0,0
arthurmasuaku,2016,160,321,1026,13,16,6938,92,07-11-1993,179,70,DR Congo,High/Medium,85,71.5,75.66666667,Defender,23,0,0,0,0,0,21.84700852,3.5,1,0,0,0
arthurmasuaku,2018,40,321,1862,23,35,6938,92,07-11-1993,179,70,DR Congo,High/Medium,85,71.5,75.66666667,Defender,25,1026,13,78.92307692,160,13,21.84700852,3.5,1,1,321,160
arthurmasuaku,2019,24,321,1030,17,24,6938,92,07-11-1993,179,70,DR Congo,High/Medium,85,71.5,75.66666667,Defender,26,2888,36,80.22222222,100,18,21.84700852,3.5,1,0,642,40
arthurmasuaku,2020,97,321,1045,12,12,6938,92,07-11-1993,179,70,DR Congo,High/Medium,85,71.5,75.66666667,Defender,27,3918,53,73.9245283,74.66666667,17.66666667,21.84700852,3.5,1,0,963,24
arturboruc,2016,13,13,3325,35,35,4465,47,20-02-1980,193,87.16666667,Poland,Medium/Medium,0,0,75.33333333,Goalkeeper,36,0,0,0,0,0,23.40107564,3,0,0,0,0
ashleybarnes,2016,96,468,1861,28,28,9479,142,30-10-1989,186,80.16666667,Austria,High/High,65.33333333,79.66666667,74.66666667,Forward,27,0,0,0,0,0,23.17223571,4,2,0,0,0
ashleybarnes,2017,64,468,2302,36,37,9479,142,30-10-1989,186,80.16666667,Austria,High/High,65.33333333,79.66666667,74.66666667,Forward,28,1861,28,66.46428571,96,28,23.17223571,4,2,0,468,96
ashleybarnes,2019,299,468,1396,19,19,9479,142,30-10-1989,186,80.16666667,Austria,High/High,65.33333333,79.66666667,74.66666667,Forward,30,4163,64,65.046875,80,32,23.17223571,4,2,0,936,64
ashleybarnes,2020,9,468,1396,22,25,9479,142,30-10-1989,186,80.16666667,Austria,High/High,65.33333333,79.66666667,74.66666667,Forward,31,5559,83,66.97590361,153,27.66666667,23.17223571,4,2,1,1404,299
ashleywestwood,2019,24,36,3325,35,35,11680,135,01-04-1990,172.1666667,70,England,Medium/Medium,62.5,69.33333333,75.5,Defender,29,0,0,0,0,0,23.61564968,3,1,0,0,0
ashleywestwood,2019,24,36,3325,35,35,11680,135,01-04-1990,172.1666667,70,England,Medium/Medium,62.5,69.33333333,75.5,Midfielder,29,3325,35,95,24,35,23.61564968,3,3,0,36,24
ashleywestwood,2020,12,36,3596,38,38,11680,135,01-04-1990,172.1666667,70,England,Medium/Medium,62.5,69.33333333,75.5,Defender,30,6650,70,95,24,35,23.61564968,3,1,0,72,24
ashleywestwood,2020,12,36,3596,38,38,11680,135,01-04-1990,172.1666667,70,England,Medium/Medium,62.5,69.33333333,75.5,Midfielder,30,10246,108,94.87037037,20,36,23.61564968,3,3,0,108,12
ashleyyoung,2016,118,125,804,12,21,7134,84,09-07-1985,175,65,England,High/Medium,76.16666667,64,78,Defender,31,0,0,0,0,0,21.2244898,3.5,1,0,0,0
ashleyyoung,2018,7,125,2752,30,36,7134,84,09-07-1985,175,65,England,High/Medium,76.16666667,64,78,Defender,33,804,12,67,118,12,21.2244898,3.5,1,0,125,118
asmirbegovic,2018,13,17,2280,24,36,6080,64,20-06-1987,199.3333333,86,Bosnia Herzegovina,Medium/Medium,0,0,79.33333333,Goalkeeper,31,0,0,0,0,0,21.6440532,3,0,0,0,0
axeltuanzebe,2019,113,333,210,5,14,955,18,14-11-1997,185,73.2,England,Medium/Medium,76.4,72.6,71.8,Defender,22,0,0,0,0,0,21.38787436,3,1,0,0,0
axeltuanzebe,2020,123,333,427,8,30,955,18,14-11-1997,185,73.2,England,Medium/Medium,76.4,72.6,71.8,Defender,23,210,5,42,113,5,21.38787436,3,1,0,333,113
aymericlaporte,2018,14,358,3227,35,36,6636,75,27-05-1994,189,85,France,Medium/Medium,66.5,79,84.66666667,Defender,24,0,0,0,0,0,23.79552644,3,1,0,0,0
aymericlaporte,2019,281,358,1139,15,17,6636,75,27-05-1994,189,85,France,Medium/Medium,66.5,79,84.66666667,Defender,25,3227,35,92.2,14,35,23.79552644,3,1,0,358,14
aymericlaporte,2020,28,358,1423,16,28,6636,75,27-05-1994,189,85,France,Medium/Medium,66.5,79,84.66666667,Defender,26,4366,50,87.32,147.5,25,23.79552644,3,1,1,716,281
bacarysagna,2016,163,254,1425,17,24,1425,17,14-02-1983,176,72.5,France,High/Medium,70.25,77.25,77,Defender,33,0,0,0,0,0,23.40521694,3.5,1,0,0,0
bakarysako,2016,79,350,171,7,21,753,27,26-04-1988,183.6666667,90.33333333,Mali,High/Medium,80,76,74,Midfielder,28,0,0,0,0,0,26.77856792,3.5,3,0,0,0
bakarysako,2017,255,350,538,16,20,753,27,26-04-1988,183.6666667,90.33333333,Mali,High/Medium,80,76,74,Midfielder,29,171,7,24.42857143,79,7,26.77856792,3.5,3,0,350,79
bakarysako,2018,16,350,44,4,7,753,27,26-04-1988,183.6666667,90.33333333,Mali,High/Medium,80,76,74,Midfielder,30,709,23,30.82608696,167,11.5,26.77856792,3.5,3,1,700,255
bartoszkapustka,2016,2,282,0,0,8,0,0,23-12-1996,179,67,Poland,Medium/Medium,78,53.5,69.33333333,Midfielder,20,0,0,0,0,0,20.91070816,3,3,0,0,0
bastianschweinsteiger,2016,9,38,0,0,4,0,0,01-08-1984,183,79,Germany,Medium/Medium,42.6,74.8,81.2,Midfielder,32,0,0,0,0,0,23.58983547,3,3,0,0,0
benchilwell,2016,63,254,754,12,27,11053,126,21-12-1996,178,75.16666667,England,High/High,77.33333333,67.83333333,72.5,Defender,20,0,0,0,0,0,23.72385642,4,1,0,0,0
benchilwell,2017,59,254,1979,24,32,11053,126,21-12-1996,178,75.16666667,England,High/High,77.33333333,67.83333333,72.5,Defender,21,754,12,62.83333333,63,12,23.72385642,4,1,0,254,63
benchilwell,2018,24,254,3420,36,36,11053,126,21-12-1996,178,75.16666667,England,High/High,77.33333333,67.83333333,72.5,Defender,22,2733,36,75.91666667,61,18,23.72385642,4,1,0,508,59
