player_name,age,nationality,club,overall,potential,pace,shooting,passing,dribbling,physical,market_value
Manuel Benzema,21,France,PSG,74,74,67,81,88,73,65,58525008
Kylian Silva,38,Germany,Sevilla,78,88,86,75,84,78,74,64517903
Marco Junior,40,Brazil,Juventus,89,99,83,85,90,96,94,73586611
Luka Rashford,38,Portugal,Atletico Madrid,62,63,51,61,62,63,64,49358954
Paul Hernandez,24,Spain,Leipzig,82,82,73,84,82,80,82,65652510
Erling Pedri,28,France,Liverpool,65,74,71,47,55,52,54,54942249
Vinicius Benzema,18,Argentina,Dortmund,62,63,71,66,51,62,56,48789567
Ederson Modric,40,USA,Juventus,76,76,80,77,81,72,70,60271490
Kylian Mount,36,Croatia,PSG,58,62,52,62,62,49,58,47253799
Marco Alcantara,35,Netherlands,PSG,82,82,89,90,89,72,84,64929304
Kylian Rice,31,Uruguay,Bayern Munich,82,84,81,80,91,67,85,65506024
Mason Rashford,34,Netherlands,AC Milan,59,59,58,52,42,61,66,46545940
Benjamin Mbappe,26,Spain,Ajax,67,67,77,60,84,69,68,53540559
Lionel Felix,28,Brazil,Manchester City,68,74,65,58,52,67,65,55140600
Joao Courtois,37,Norway,Manchester City,90,92,88,99,77,88,86,71415658
Mason Ronaldo,22,France,Manchester United,76,76,80,78,75,85,75,60846462
Benjamin Kane,39,Spain,Arsenal,76,79,80,68,71,68,90,60377048
Thiago Mendy,33,England,Ajax,55,62,56,65,60,61,55,45249958
Riyad Gundogan,27,Morocco,Arsenal,68,68,72,67,63,58,64,54058735
Kylian Camavinga,25,Croatia,Sevilla,60,61,45,47,62,65,53,48363945
Mason Messi,37,USA,Leipzig,72,80,79,79,81,75,74,59121318
Andre Mane,40,Argentina,Leipzig,72,72,71,67,77,76,76,57558691
Luka Reus,31,Argentina,Sevilla,82,88,74,80,93,65,82,66561773
Achraf Ter Stegen,26,England,Liverpool,59,59,60,50,41,65,56,47168886
David Alcantara,40,Belgium,Dortmund,73,74,62,52,79,78,81,57009107
Marcus Ter Stegen,31,Brazil,Liverpool,69,69,71,66,69,61,77,54477776
Rodrygo Silva,17,Uruguay,Manchester City,85,88,81,76,96,83,92,67808806
Jan Salah,20,Portugal,Liverpool,69,81,59,62,63,79,69,58236833
Pedri Mahrez,39,England,Dortmund,72,73,75,75,63,82,73,56443763
Erling De Bruyne,20,Brazil,Sevilla,72,76,82,74,71,76,71,58080769
Kevin Nunez,36,USA,Manchester United,67,71,51,61,86,67,65,53116473
Declan Modric,19,Portugal,Chelsea,54,61,40,46,63,62,47,44619455
Mohamed Mahrez,39,Germany,PSG,83,86,67,87,77,80,84,66061001
Achraf Gundogan,36,Morocco,Dortmund,58,58,51,55,58,62,61,45241401
Angel Junior,29,USA,Juventus,62,62,73,61,68,50,61,49449081
Mohamed Foden,34,Germany,AC Milan,75,79,75,74,67,85,76,60940485
Benjamin Di Maria,28,Croatia,Barcelona,72,72,86,75,80,75,74,57568573
Darwin Silva,34,Japan,Dortmund,64,65,76,57,56,59,58,50542321
Marcus Pedri,39,Brazil,Bayern Munich,72,75,64,75,76,62,76,57419378
Gavi Benzema,27,Korea,Sevilla,64,64,70,54,67,68,64,50094584
Joao Courtois,34,England,Liverpool,76,76,82,97,72,90,92,60335198
Eduardo Mendy,36,Japan,PSG,86,90,86,88,83,83,95,68451423
Jan Mane,20,Netherlands,Manchester City,95,95,87,94,81,92,91,74992330
Jan De Bruyne,34,Uruguay,Atletico Madrid,75,75,70,82,81,83,66,59258909
Benjamin Mane,34,Uruguay,Leipzig,70,70,57,70,67,76,63,54804440
Phil Pedri,33,Croatia,Atletico Madrid,69,74,62,73,85,65,68,55482072
Sergio Pavard,32,Korea,Chelsea,72,76,74,61,77,68,75,58205118
Erling Suarez,28,Morocco,Real Madrid,68,68,73,72,65,72,65,54710244
Achraf Becker,36,France,Real Madrid,73,73,71,80,82,81,73,56893329
Angel Junior,25,Spain,AC Milan,65,68,53,73,64,71,66,52994455
Bernardo Gundogan,28,Norway,Inter Milan,67,71,67,70,65,71,62,53633602
Kylian Fernandes,29,Belgium,Juventus,70,70,72,67,75,74,69,55543169
Thomas Ter Stegen,19,Japan,Leipzig,69,78,66,78,65,61,70,56547075
Paul Pavard,38,Norway,Dortmund,78,85,85,73,81,74,86,64504624
Paul Salah,22,Japan,Arsenal,74,74,65,68,74,84,64,59591370
Manuel Fernandes,37,Italy,Dortmund,85,86,86,81,88,86,73,68428042
Phil Mbappe,20,Germany,Juventus,64,65,60,58,64,64,64,51570006
Ilkay Felix,18,Uruguay,Arsenal,60,64,59,63,70,59,48,49038627
Bernardo Suarez,19,USA,Barcelona,83,89,70,87,94,88,83,68815739
Cristiano Kane,38,Portugal,Atletico Madrid,72,74,60,66,65,75,67,56939913
Benjamin Ronaldo,21,Morocco,PSG,63,68,78,45,66,61,66,51858667
Marcus Silva,33,Japan,AC Milan,85,90,93,79,99,69,84,69092453
Harry Salah,39,Belgium,PSG,74,76,71,71,63,71,83,59804409
Gavi Mount,20,Portugal,Atletico Madrid,62,67,76,50,69,62,56,50667188
David Hernandez,38,Portugal,Chelsea,75,81,61,63,83,78,82,60074667
Lionel Mane,40,Spain,Juventus,91,95,80,90,93,87,92,72266788
Robert Rashford,26,Uruguay,Juventus,78,85,80,79,77,81,77,63129781
Marco Mahrez,25,Argentina,Dortmund,61,61,42,45,68,57,68,47749072
Thiago Reus,21,Italy,Chelsea,89,89,99,89,90,84,95,69836299
Diogo Di Maria,24,Italy,Manchester City,69,70,75,64,78,59,63,54588436
Luis Valverde,21,Germany,AC Milan,71,71,83,79,79,65,86,56498583
Eduardo Haaland,19,Uruguay,Arsenal,69,71,62,80,79,72,67,56340115
Pedri Fernandes,29,Argentina,Atletico Madrid,67,67,69,76,67,77,66,53021767
Thiago Di Maria,29,England,AC Milan,73,74,68,87,72,64,75,58452825
Ruben Mane,29,France,Roma,67,67,56,81,64,67,58,53588335
Bernardo Felix,37,Korea,Sevilla,64,68,63,57,66,73,61,52636031
Rodrygo Haaland,22,Morocco,Manchester United,50,51,50,53,40,47,45,40051768
Thiago Messi,30,Croatia,Ajax,74,74,68,68,88,74,88,57871306
Phil Nunez,23,Croatia,Ajax,65,65,67,63,47,58,62,51241878
Erling Hernandez,31,Argentina,Arsenal,64,66,67,57,70,69,70,51311747
Mohamed Dias,39,Portugal,Inter Milan,83,89,95,77,87,94,81,66887517
Gavi Nunez,17,Belgium,Barcelona,76,81,74,83,73,68,72,62707323
Marc Felix,37,Spain,AC Milan,72,75,69,65,78,69,72,57954344
Andre Pavard,20,Uruguay,Real Madrid,66,78,58,64,79,49,69,56871601
Thomas Courtois,34,Belgium,Sevilla,68,68,78,78,71,76,67,54495478
Phil Salah,23,Uruguay,Manchester United,77,79,69,86,80,77,82,62630656
Lionel Mount,18,Uruguay,Atletico Madrid,65,75,57,62,59,62,65,54960414
Jan Hernandez,26,France,Real Madrid,77,77,79,79,79,76,69,60744417
Phil Salah,40,Japan,Inter Milan,66,74,61,61,51,76,61,53818395
Thomas Di Maria,34,Spain,Liverpool,71,74,79,81,87,75,55,57265716
Vinicius Di Maria,40,France,Atletico Madrid,66,72,74,65,59,73,71,54514808
Benjamin Gavi,18,Morocco,Manchester United,67,67,59,73,68,66,67,52985094
Declan Haaland,36,Japan,AC Milan,52,52,45,62,41,53,41,41094991
Alisson Silva,35,Croatia,Barcelona,84,94,86,86,88,84,87,70152893
Sadio Ronaldo,37,Germany,Arsenal,91,93,90,96,91,99,98,72685280
Marc Ronaldo,20,Morocco,Inter Milan,95,99,93,90,99,94,78,76693648
Mohamed Suarez,37,Brazil,Manchester United,84,89,82,77,79,77,89,68858521
Mohamed Junior,30,Argentina,Sevilla,88,89,75,86,74,85,81,69480365
Eduardo Kane,20,Korea,Manchester City,86,93,78,76,91,83,83,71491933
Lionel Valverde,36,Spain,Atletico Madrid,69,74,73,73,65,74,68,55463915
Thomas Salah,20,Germany,Ajax,88,99,90,96,99,70,82,72741121
Rodrygo Messi,26,Uruguay,Ajax,75,77,80,75,75,77,78,59305003
Gavi Messi,40,Morocco,Dortmund,64,73,61,61,73,61,54,52685723
Joao Kane,27,Portugal,Atletico Madrid,66,76,77,60,59,73,63,55790800
Mohamed Pavard,25,Croatia,Leipzig,58,61,52,63,64,58,64,47606683
Manuel Rice,34,France,Leipzig,55,59,47,47,46,54,44,45010853
Sergio Gavi,33,Portugal,Liverpool,65,67,65,61,66,64,74,51683861
Mason Nunez,24,USA,Barcelona,81,84,91,88,72,78,82,64353904
Andre Rashford,22,Korea,Inter Milan,61,65,54,60,56,57,57,49315036
Pedri Pedri,25,Norway,Roma,77,77,89,69,78,88,80,60427431
Ederson Ronaldo,18,Uruguay,Real Madrid,71,71,62,62,80,79,59,55929954
Eduardo Reus,38,Portugal,Ajax,78,78,81,76,68,73,79,61274884
Kylian Ter Stegen,22,Morocco,Leipzig,83,83,87,80,75,99,76,66288295
Bruno Becker,25,Croatia,Ajax,66,66,55,63,58,65,72,51780137
Eduardo Camavinga,20,Portugal,Barcelona,80,84,72,80,84,81,71,65309044
David Becker,29,USA,Inter Milan,73,81,73,70,68,81,88,60839025
Darwin Pedri,20,Netherlands,AC Milan,67,69,70,70,62,64,56,52843958
David Rashford,25,Brazil,Arsenal,60,68,53,62,61,45,65,50196421
Vinicius Rice,30,Germany,Leipzig,64,64,81,68,65,59,65,50012243
Joao Courtois,39,Italy,Liverpool,73,77,60,64,64,79,81,59261103
Alisson Mahrez,35,Netherlands,AC Milan,74,78,70,60,62,73,74,60298381
Robert Nunez,27,USA,Atletico Madrid,56,67,62,64,62,55,49,47134569
Andre Rashford,25,Italy,Leipzig,68,68,64,76,61,77,73,53333410
Karim Messi,33,France,PSG,79,82,75,75,84,80,79,62916279
Luka Hernandez,29,Italy,PSG,77,84,85,74,78,81,85,64038875
Benjamin Nunez,33,Portugal,PSG,70,73,69,71,68,66,79,56089874
Marco Rice,19,France,Juventus,66,71,60,60,83,64,75,53869679
Thiago Rice,26,France,Arsenal,59,59,57,58,72,62,62,46992851
Eduardo Haaland,32,France,Juventus,76,80,68,65,78,68,67,61245081
Eduardo Pavard,40,Argentina,Manchester United,50,56,40,49,44,51,55,40860327
Andre Di Maria,19,Spain,Arsenal,78,78,54,86,86,72,89,62992352
Cristiano Fernandes,37,USA,Roma,87,87,89,95,84,84,85,68054512
Darwin Jota,39,Portugal,Leipzig,73,79,56,87,73,69,67,58514626
Phil Mendy,26,Germany,Atletico Madrid,71,76,77,61,75,69,72,57565580
Bruno Rashford,29,Italy,Manchester City,79,79,83,78,93,76,77,62904771
Eduardo Fernandes,29,Spain,Ajax,58,62,56,55,59,58,55,47224949
Bruno Junior,28,Morocco,Juventus,82,83,77,62,72,68,76,65269025
Jan Jota,28,Italy,Chelsea,71,79,80,65,61,72,74,58437364
Neymar Nunez,24,Italy,Sevilla,81,90,91,87,85,74,89,66069738
Ilkay Di Maria,38,Portugal,Barcelona,80,80,74,83,74,77,81,62247066
Vinicius Ronaldo,27,Portugal,AC Milan,62,69,63,56,56,69,67,50751443
Mohamed Mount,23,England,Chelsea,70,70,69,75,57,64,67,56535429
Sergio Dias,27,France,Sevilla,70,77,53,66,71,73,66,57012037
Andre Modric,30,Korea,Ajax,66,66,69,77,53,72,76,52696909
Erling Alcantara,19,Morocco,Juventus,79,79,70,74,78,78,80,62753505
Angel Silva,37,Argentina,Chelsea,69,71,70,65,79,71,84,55489455
Mohamed Modric,24,France,Inter Milan,74,74,61,71,63,67,80,59349588
Ilkay Suarez,23,Spain,Sevilla,73,74,70,72,79,87,72,58989865
Karim Kane,33,England,Real Madrid,63,70,56,57,62,62,60,52619477
Manuel Junior,30,Italy,PSG,50,58,40,44,51,52,53,41722194
Angel Courtois,20,Japan,Juventus,80,80,79,86,93,87,83,63070367
Andre Modric,25,Croatia,Real Madrid,80,80,76,83,89,85,88,62531219
Eduardo Jota,40,Netherlands,Dortmund,71,71,87,62,78,68,68,56759475
Vinicius Pedri,37,France,Leipzig,54,54,47,61,59,57,57,41728955
Benjamin Silva,29,Morocco,Ajax,50,58,59,47,49,53,54,42279631
Diogo Rashford,28,Portugal,PSG,90,96,83,88,86,83,89,73612823
Bruno Lewandowski,31,England,Dortmund,73,82,69,58,69,64,78,61195433
Neymar Benzema,22,USA,Manchester United,61,64,55,57,65,83,66,49865949
Thomas Mendy,33,Belgium,Real Madrid,80,91,85,80,85,84,92,67585963
Vinicius Lewandowski,38,Italy,Juventus,78,82,80,84,77,78,88,63293566
Angel Gundogan,22,Spain,Bayern Munich,73,83,81,73,68,76,68,61527360
Erling Mahrez,32,Argentina,AC Milan,71,73,69,85,62,72,66,57661588
Marc Lewandowski,26,Korea,Liverpool,70,73,57,64,72,73,79,56662174
Kylian Salah,31,Argentina,Chelsea,77,82,83,86,84,90,63,63096615
Darwin Mane,27,Belgium,Chelsea,58,65,52,45,58,60,56,47002394
Phil Junior,17,Norway,Atletico Madrid,57,57,57,65,63,58,60,44861526
Gavi Reus,29,France,Leipzig,66,76,62,66,64,54,65,55699666
Angel Mbappe,18,Brazil,Bayern Munich,73,73,94,70,71,70,78,57410148
Joao Gundogan,21,Norway,Juventus,69,80,78,65,84,59,73,58305931
Karim Alcantara,27,Croatia,Chelsea,56,56,70,58,53,59,59,43713515
Vinicius Dias,35,Italy,Sevilla,64,65,62,56,57,57,70,51140926
Jude Rice,37,Netherlands,PSG,73,82,78,82,75,73,56,60803394
Phil Hernandez,23,Norway,Bayern Munich,77,77,88,71,58,77,77,60978017
Jude Pavard,28,Korea,Arsenal,74,74,77,73,74,72,69,58140194
Marc Nunez,34,England,Liverpool,89,90,88,92,76,88,89,71249403
Gavi Pavard,27,Portugal,Manchester United,73,76,78,65,82,81,72,58383102
Andre Di Maria,22,Netherlands,Atletico Madrid,87,87,87,87,99,89,87,68950449
Harry Valverde,35,England,Leipzig,61,68,68,61,62,56,60,51122249
Kylian Busquets,30,France,PSG,82,83,87,92,82,76,74,65456625
Marco Mbappe,20,England,PSG,58,60,53,56,63,52,67,46596939
Eduardo Gavi,33,USA,Leipzig,66,70,57,69,61,54,71,53557725
Karim Reus,22,Morocco,Inter Milan,73,81,81,79,89,75,71,59994651
Lionel Camavinga,37,Croatia,Ajax,70,83,82,71,67,63,77,59740527
Sergio Ronaldo,20,England,Manchester City,95,97,90,99,99,85,99,76119580
Ederson Pogba,38,Brazil,Real Madrid,77,77,80,82,78,88,82,60658783
Cristiano Modric,27,Korea,PSG,72,73,75,75,73,73,73,58317243
Pedri Foden,24,Brazil,Manchester United,71,79,82,81,69,99,69,59417730
Rodrygo Rashford,32,Germany,Manchester United,67,73,68,70,67,67,73,54829447
Benjamin De Bruyne,24,England,Sevilla,63,66,66,53,61,71,63,50751936
Jan Lewandowski,27,Belgium,PSG,85,85,99,73,96,96,82,67865401
Lionel Suarez,18,Argentina,PSG,70,74,74,55,67,70,55,57091698
Lionel Becker,26,Norway,Chelsea,76,80,80,86,72,70,71,61712863
David Reus,21,England,Chelsea,72,72,72,58,79,75,68,56333442
Marco Kane,22,Germany,AC Milan,61,67,60,65,73,64,47,50587618
Karim Gundogan,28,Croatia,Roma,75,75,81,79,76,80,79,60339612
Thomas Busquets,38,France,Roma,69,70,71,64,74,69,68,54008881
Paul Mendy,30,Portugal,Bayern Munich,82,84,84,79,82,82,78,66355722
Luka Ronaldo,35,Korea,Dortmund,67,72,68,77,67,63,61,54131579
Karim Mendy,23,Netherlands,Real Madrid,67,67,71,63,57,75,65,53099649
Mohamed Pedri,23,France,Arsenal,76,80,74,76,97,73,72,62080911
Marcus Felix,20,Germany,PSG,72,77,81,90,53,75,70,57760048
Bernardo Mbappe,24,Brazil,Atletico Madrid,70,70,69,72,70,73,74,56390268
Manuel Mane,28,Netherlands,Sevilla,56,58,67,67,68,65,47,44289502
Joao Suarez,32,Netherlands,Manchester United,81,81,79,85,79,71,74,65002546
Eduardo Haaland,27,Spain,Bayern Munich,85,86,85,94,81,85,85,68373947
Rodrygo Messi,28,Japan,Liverpool,62,62,70,70,61,59,60,48109828
Joao Silva,40,Spain,AC Milan,86,93,87,77,99,81,91,69639432
Kylian Gavi,17,England,Leipzig,72,72,50,70,65,81,75,57590619
Erling Di Maria,37,Italy,Juventus,72,72,76,74,70,67,73,57753140
Angel Benzema,30,Italy,AC Milan,72,72,48,71,78,69,67,56210146
Erling Suarez,20,Uruguay,Liverpool,72,79,77,82,67,71,69,59058366
Sadio Modric,32,Italy,Juventus,72,72,91,65,76,80,72,57862463
Riyad Modric,23,Germany,Juventus,80,91,84,82,82,80,73,67526095
Bernardo Hernandez,23,Norway,Barcelona,53,53,55,49,50,51,51,42665941
Darwin Mane,34,Spain,Juventus,76,79,85,64,72,72,84,60979028
Mason Mane,35,Japan,Bayern Munich,74,74,58,77,77,68,86,57746673
Federico Kane,28,Spain,Manchester United,79,79,73,95,80,70,66,62825650
Marcus Dias,32,Uruguay,Liverpool,61,65,75,63,55,55,52,50024756
Vinicius Mane,36,England,Sevilla,69,75,61,69,60,58,75,56412865
Pedri Kane,32,Netherlands,PSG,91,91,95,86,96,79,85,72220481
Robert Reus,30,Croatia,Liverpool,84,84,93,96,86,84,78,67568268
Gavi Ronaldo,38,Brazil,Juventus,81,81,81,74,83,75,77,63988473
Darwin Pavard,28,Brazil,Dortmund,63,72,73,76,66,47,60,52891519
Angel Salah,28,Germany,Inter Milan,75,78,68,82,65,75,79,60291285
Paul Kane,30,Uruguay,Arsenal,69,71,64,72,67,68,71,54404645
Karim Mount,34,Uruguay,AC Milan,72,74,50,66,72,70,75,58235567
Sadio Gavi,35,Italy,Dortmund,63,77,84,64,68,63,58,53939058
Pedri Valverde,21,Argentina,Real Madrid,66,66,51,69,80,64,77,52918690
Jude Valverde,18,Spain,Dortmund,71,75,58,75,75,80,72,57094221
Andre Mahrez,26,England,Ajax,64,67,51,64,55,56,68,51665036
Marco Mbappe,18,Portugal,Liverpool,64,64,56,61,67,71,77,50177098
Jude Mane,36,Portugal,AC Milan,81,81,77,82,89,79,76,64826324
David Mahrez,18,Portugal,Dortmund,71,77,72,70,59,76,73,58454637
Karim Busquets,29,Spain,Real Madrid,67,67,76,75,70,74,53,53168687
Vinicius Foden,29,Portugal,Chelsea,54,54,48,55,48,43,46,43041122
Diogo Hernandez,39,USA,Chelsea,61,64,67,56,76,61,61,48151088
Neymar Hernandez,39,Croatia,AC Milan,50,58,40,59,52,40,42,41235887
Andre Gavi,20,Belgium,Liverpool,59,59,50,69,66,55,58,46541360
Cristiano Rice,38,Argentina,Barcelona,61,61,72,69,88,59,55,48919644
Thomas Mount,25,Belgium,Chelsea,67,81,75,68,54,60,58,58078958
Joao Pavard,22,Germany,Liverpool,77,90,84,76,83,81,80,64919543
Mohamed Reus,27,Germany,Chelsea,89,91,77,84,88,79,88,71354855
Darwin Nunez,25,Morocco,Roma,69,71,65,65,72,68,81,56287138
Alisson Hernandez,26,Croatia,AC Milan,79,84,74,79,79,80,78,63486877
Mohamed Benzema,35,Italy,Ajax,71,71,77,76,70,56,61,56008551
Marc Di Maria,25,Japan,PSG,84,88,88,72,75,80,81,68293310
Luis Modric,25,Norway,Inter Milan,74,74,63,66,72,74,75,58728467
Luka Suarez,21,Brazil,Sevilla,60,60,46,58,49,50,53,47407739
David Mane,37,Croatia,Dortmund,72,81,74,71,67,89,63,58887632
