player_name,age,nationality,club,league,position,overall,potential,pace,shooting,passing,dribbling,physical,matches,goals,assists,minutes,injury_count,market_value
Lionel Ter Stegen,40,Netherlands,Juventus,Serie A,LB,71,71,69,55,90,85,67,31,7,11,2108,4,70550000
Luka Courtois,24,Chile,PSG,Premier League,CF,73,73,74,69,67,70,73,33,12,9,2937,0,73120000
Pedri Pogba,21,Germany,Arsenal,Premier League,RW,70,73,67,82,76,67,62,45,14,15,3870,4,71480000
Jude Olmo,32,Croatia,Dortmund,Serie A,LM,79,79,79,87,78,76,64,20,5,5,1640,5,78610000
Kevin Ter Stegen,31,Belgium,Inter Milan,Primeira Liga,CAM,81,83,81,76,91,71,77,19,4,5,1539,5,81380000
Thomas Mane,32,USA,Manchester City,Premier League,CM,63,71,57,41,68,69,63,40,12,12,2280,3,66160000
Kevin Modric,18,Spain,Al Nassr,Ligue 1,LB,61,62,35,57,72,65,62,36,9,12,2772,1,61490000
Phil Gundogan,37,France,Al Nassr,Serie A,LB,60,65,59,57,61,61,59,34,13,10,3026,3,61910000
Ederson Suarez,37,Chile,Porto,Bundesliga,CF,72,78,84,73,79,62,76,13,2,4,988,1,73760000
Ilkay Silva,29,Italy,Ajax,La Liga,LM,63,63,52,79,53,74,66,32,12,7,1856,0,63020000
Kai Ter Stegen,32,Germany,AC Milan,Premier League,CDM,76,82,83,61,80,76,62,47,11,13,2726,2,78310000
Darwin Dias,33,Belgium,Juventus,Saudi League,LB,76,77,79,85,70,57,71,14,7,4,1106,0,76090000
Robert Mahrez,38,France,Manchester United,Premier League,CDM,87,93,91,90,85,99,89,49,12,13,2793,3,89240000
Declan Becker,30,Morocco,Porto,La Liga,CF,74,83,75,79,71,75,91,10,4,1,670,5,77200000
Cristiano Salah,32,USA,Sevilla,Saudi League,CAM,71,77,78,73,62,59,96,41,10,9,2173,5,73260000
Thomas Hernandez,24,Korea,Manchester United,Saudi League,LB,65,65,82,67,67,71,71,36,7,6,2376,0,64870000
Vinicius Valverde,28,Chile,Sevilla,Primeira Liga,LM,58,63,55,61,66,53,62,37,15,8,3145,0,60190000
Neymar Nunez,39,Uruguay,Barcelona,Ligue 1,RM,69,74,80,62,47,68,78,15,7,1,1110,4,70570000
Riyad Musiala,35,Netherlands,Manchester City,Premier League,CF,76,76,84,65,66,76,93,18,8,4,1098,5,75700000
Eduardo Rice,39,Belgium,Real Madrid,Eredivisie,CF,63,66,69,71,66,57,61,48,20,15,3936,1,64420000
Reece Olmo,24,France,Juventus,Serie A,LB,68,70,74,90,52,62,68,20,3,5,1480,0,68470000
Marc Rice,18,Japan,Manchester City,Bundesliga,CM,68,71,79,54,50,80,69,40,14,10,2160,5,69540000
Neymar Modric,33,Portugal,Juventus,Premier League,ST,74,81,65,67,78,76,63,14,2,3,994,0,76240000
Diogo Foden,37,Spain,Sevilla,Ligue 1,RW,63,65,68,46,71,61,41,29,8,8,2407,4,63460000
Lionel Suarez,34,Colombia,Atletico Madrid,Premier League,CDM,71,75,81,65,64,75,79,43,14,10,2666,0,72620000
Thiago Salah,32,Colombia,Sevilla,Bundesliga,RB,75,76,74,74,99,51,82,33,13,12,2046,1,75410000
Marcus Messi,30,Chile,Al Hilal,Serie A,CAM,63,68,57,57,64,50,69,44,15,11,3828,0,65150000
Luis Salah,33,England,Dortmund,Eredivisie,CDM,74,77,74,75,71,66,77,38,11,9,2166,4,75090000
Federico Havertz,22,Korea,Atletico Madrid,Ligue 1,GK,68,68,79,61,64,66,75,28,10,10,1596,3,68060000
Eduardo Valverde,38,Italy,Ajax,Ligue 1,GK,79,79,71,72,59,81,75,37,14,9,2997,4,78940000
Marc Ter Stegen,27,England,Sevilla,Saudi League,CM,68,68,58,62,66,74,61,44,14,8,2420,4,68160000
Luka Rice,38,Croatia,Al Nassr,Eredivisie,ST,73,78,63,60,79,78,84,12,1,4,792,3,74290000
Gavi Messi,34,Colombia,Liverpool,Serie A,CM,75,79,54,85,63,61,61,43,14,11,2451,2,76620000
Sergio Busquets,26,Croatia,Chelsea,Serie A,ST,60,60,49,48,51,69,53,11,3,2,891,4,59630000
Harry Benzema,34,Germany,Bayern Munich,Saudi League,CF,81,81,88,77,85,99,78,12,2,7,684,4,80420000
David Rice,35,Korea,PSG,Premier League,LM,80,87,78,75,71,61,83,47,17,13,3995,3,82950000
Alisson Ter Stegen,19,Japan,Bayern Munich,Ligue 1,CB,69,70,90,74,77,55,53,20,7,7,1380,4,69370000
Mohamed Kane,19,Brazil,Atletico Madrid,Bundesliga,CDM,60,60,54,65,62,49,45,23,7,4,1357,1,59970000
Bernardo Di Maria,27,Japan,Arsenal,Saudi League,RW,64,65,53,66,58,56,65,13,6,4,650,5,64160000
Ferran Courtois,22,Japan,Juventus,Premier League,RW,63,66,64,36,70,63,60,39,13,8,2613,5,64410000
Pedri Hernandez,40,Croatia,Liverpool,Saudi League,CM,62,68,81,50,57,69,50,19,10,6,1026,4,64100000
Pedri Becker,22,Belgium,Benfica,Primeira Liga,LM,73,80,75,85,68,60,59,13,5,4,1027,1,75610000
Sergio Pogba,25,Colombia,AC Milan,Eredivisie,RB,72,78,79,97,57,94,67,15,5,6,1155,3,74150000
Jan Felix,40,Belgium,Atletico Madrid,Bundesliga,CAM,75,75,69,79,80,76,75,32,12,6,2528,1,74800000
Marc Haaland,38,Argentina,Liverpool,Bundesliga,CF,59,62,49,62,45,65,59,37,14,11,2331,3,60140000
Angel Benzema,28,England,Al Nassr,Ligue 1,ST,58,60,68,49,68,52,45,13,5,2,1157,2,58490000
Bruno Lewandowski,26,Morocco,Liverpool,Saudi League,CF,76,78,70,82,77,74,90,15,7,1,1230,5,76630000
Reece Rashford,21,Italy,Inter Milan,Bundesliga,RM,70,74,81,78,76,79,72,33,12,8,2079,4,71780000
Ederson Rashford,20,France,Sevilla,Eredivisie,RB,63,66,75,48,59,52,63,29,13,8,2407,1,64450000
Diogo Fernandes,18,Italy,PSG,Premier League,RB,85,96,77,92,80,80,89,37,10,9,2331,4,89540000
Sergio Salah,18,Korea,Bayern Munich,Bundesliga,LB,60,65,59,59,57,50,61,41,15,8,3526,2,62390000
Angel Dias,21,Chile,Al Hilal,Saudi League,CF,73,79,69,75,73,57,89,39,12,12,2340,5,75580000
Sergio Busquets,24,Colombia,Arsenal,Primeira Liga,GK,69,69,65,77,79,65,74,26,9,4,2002,2,68970000
David Camavinga,40,Colombia,Real Madrid,Bundesliga,CDM,60,65,59,60,53,70,57,33,13,9,2244,1,61850000
Ruben Olmo,26,Chile,Porto,Bundesliga,LB,69,69,70,65,76,63,66,32,10,7,1664,1,68980000
Robert Ter Stegen,36,Korea,Porto,Premier League,CDM,71,72,54,56,69,63,59,18,5,0,918,1,70930000
Angel Olmo,17,England,Liverpool,Saudi League,RB,67,74,76,40,62,59,77,15,3,2,885,4,69610000
Kevin Felix,30,Morocco,Arsenal,Eredivisie,ST,50,53,63,42,48,57,66,18,3,0,1242,2,50750000
Gavi Felix,18,Chile,Liverpool,Primeira Liga,ST,90,93,96,99,81,80,91,27,8,8,2241,5,91240000
Kevin Benzema,22,Brazil,Manchester United,Serie A,LW,72,76,83,73,75,78,67,47,14,10,3337,5,73860000
Robert Camavinga,39,USA,Porto,Primeira Liga,LM,79,81,84,79,74,60,78,29,10,6,2407,1,79520000
Kevin Havertz,33,Germany,Al Hilal,La Liga,RW,62,73,71,61,72,58,35,48,12,9,4032,0,66340000
Reece Mount,31,Italy,AC Milan,Saudi League,RM,77,77,77,85,88,78,65,28,9,9,2240,5,76830000
Diogo Olmo,31,Netherlands,Bayern Munich,Saudi League,LM,56,64,57,54,56,38,43,16,6,5,1360,5,58880000
Thiago Mane,33,France,Sevilla,Saudi League,CDM,50,54,70,49,47,60,39,14,5,6,1036,4,51190000
Gavi Ter Stegen,17,Germany,Porto,Premier League,ST,57,57,74,68,50,66,65,22,6,4,1452,0,56960000
David Kane,21,Spain,Bayern Munich,Ligue 1,LW,75,81,72,88,73,89,78,24,7,6,1680,3,77330000
Jude Foden,34,France,Manchester City,Ligue 1,LM,51,62,45,39,56,59,58,18,6,6,936,2,55020000
Benjamin Jota,19,Chile,Ajax,La Liga,ST,59,60,41,66,64,59,49,29,5,7,1769,0,59270000
Harry Olmo,21,Korea,Manchester City,Eredivisie,LB,61,65,87,78,51,68,46,49,18,12,2646,4,63080000
Karim Reus,36,Colombia,AC Milan,Eredivisie,CDM,52,52,48,58,46,51,38,14,3,6,966,1,51430000
Karim Haaland,18,Belgium,Al Nassr,Ligue 1,CF,79,79,76,89,71,84,72,21,7,6,1470,5,78990000
Bruno Reus,38,England,Al Hilal,Bundesliga,RB,72,89,66,70,82,68,83,34,13,6,2278,3,78690000
Josko Dias,34,Portugal,Real Madrid,Serie A,GK,60,60,47,47,60,49,54,13,4,4,819,5,59520000
Luka Olmo,26,Belgium,Atletico Madrid,Serie A,CM,60,60,44,53,49,82,65,12,3,5,876,5,59630000
Harry Kane,17,Netherlands,Chelsea,Eredivisie,CB,72,72,55,72,73,60,76,21,8,5,1113,3,72060000
Reece Ter Stegen,27,Uruguay,Real Madrid,Saudi League,CF,70,70,67,72,58,61,69,10,1,1,860,3,69510000
Darwin Mbappe,32,Italy,AC Milan,Saudi League,LM,67,73,59,82,68,56,57,19,6,1,1311,2,69060000
Gavi Becker,24,Uruguay,Bayern Munich,Primeira Liga,LM,68,71,64,63,76,74,72,32,12,6,1696,1,69320000
Marco Dias,25,Italy,Porto,Primeira Liga,LM,68,77,73,80,56,58,71,18,5,5,1296,0,71350000
Rodrygo Olmo,27,Belgium,Juventus,Premier League,LB,68,72,75,77,72,66,56,40,14,9,2480,4,69760000
Mohamed Mendy,31,Uruguay,Barcelona,Primeira Liga,GK,94,99,92,99,99,97,94,36,15,9,3060,3,96130000
Paul Olmo,35,Japan,Juventus,La Liga,RM,76,76,71,89,73,83,79,20,9,5,1460,3,75750000
Joao Di Maria,19,Italy,Atletico Madrid,Serie A,CAM,73,73,82,71,69,85,59,49,16,9,2695,5,73420000
Kylian Messi,18,USA,Ajax,Premier League,CM,72,72,72,82,59,58,61,20,5,5,1620,3,71890000
Joao Mbappe,31,Chile,Dortmund,Serie A,RW,52,55,55,42,49,35,62,44,12,12,3300,3,53180000
Luka Haaland,21,Argentina,Manchester City,Bundesliga,RW,56,56,45,66,77,46,61,45,14,10,4050,3,56280000
Joao Messi,18,Belgium,Inter Milan,Premier League,RW,67,70,75,69,65,76,55,17,7,5,1479,1,68190000
Kevin Musiala,32,USA,Sevilla,Ligue 1,CM,57,57,35,38,56,57,47,33,10,11,2442,2,56860000
Diogo Felix,29,Croatia,Arsenal,Ligue 1,CAM,73,78,79,73,63,66,78,26,8,8,2184,1,74820000
Sadio Hernandez,24,England,PSG,Ligue 1,RW,79,79,93,63,69,75,64,21,4,4,1365,2,78720000
Phil Olmo,22,Argentina,Chelsea,Eredivisie,ST,80,86,79,74,95,65,75,31,9,6,2201,5,82410000
Marco Suarez,27,Morocco,Real Madrid,Ligue 1,ST,56,56,61,41,53,55,60,37,10,6,2664,3,55960000
Ferran Nkunku,27,England,Al Nassr,Eredivisie,CDM,59,64,48,67,61,63,45,37,13,8,3108,2,61110000
Andre Ronaldo,37,Brazil,Atletico Madrid,Serie A,CAM,60,62,41,47,61,73,49,50,15,13,3000,1,60810000
Thomas Valverde,30,USA,Atletico Madrid,Bundesliga,RM,70,70,62,80,80,81,88,40,14,12,2680,5,70100000
Bernardo Suarez,28,Croatia,AC Milan,Serie A,GK,63,67,77,69,77,54,67,45,17,10,2385,2,64890000
Sergio Alcantara,34,Morocco,Al Hilal,Eredivisie,CAM,71,71,79,57,83,81,60,22,7,4,1760,4,70670000
Alisson Pavard,37,England,Al Hilal,Saudi League,RB,67,67,71,65,67,56,62,48,13,11,2640,2,66910000
Mohamed Valverde,18,Chile,Manchester City,Primeira Liga,LW,77,79,68,45,85,89,61,15,7,4,1155,5,77790000
Neymar Kane,27,Uruguay,Juventus,Primeira Liga,LM,50,55,42,43,43,43,62,34,14,7,2822,1,52160000
Bernardo Courtois,17,Uruguay,Manchester City,Premier League,CDM,76,76,73,70,96,78,62,37,14,14,2923,4,76360000
Pedri Rice,21,England,Atletico Madrid,Ligue 1,RM,82,91,77,79,99,82,74,49,18,12,4116,2,86080000
Jan Dias,28,England,Manchester United,Serie A,ST,85,88,91,93,87,85,74,43,11,11,3053,4,86190000
Luka Alcantara,30,Netherlands,Al Hilal,La Liga,RM,66,67,65,73,69,66,59,36,10,3,2376,3,66300000
Federico Junior,33,Norway,AC Milan,Premier League,CB,60,65,57,63,68,59,58,22,7,7,1738,2,61690000
Joao Mount,22,Morocco,PSG,Ligue 1,RB,69,69,59,89,59,80,73,27,6,5,1674,1,68860000
Darwin Alcantara,30,England,AC Milan,Eredivisie,GK,83,84,80,80,96,67,91,36,11,7,2304,2,83350000
Andre Mbappe,25,Argentina,Arsenal,Serie A,CB,72,72,88,64,70,80,84,18,5,9,1332,3,71750000
Phil Pogba,20,Croatia,Juventus,Ligue 1,CDM,75,80,72,77,72,74,63,50,16,14,2900,2,77400000
Reece Busquets,31,Germany,Sevilla,Saudi League,RB,76,76,84,76,92,72,85,48,17,12,3216,1,76230000
Paul Messi,40,Colombia,Manchester City,La Liga,LM,58,58,61,71,38,82,47,15,4,3,825,1,57400000
Riyad Foden,22,Chile,Barcelona,Saudi League,CB,64,75,61,59,63,63,64,40,10,7,2800,3,68460000
Harry Felix,20,England,Dortmund,Primeira Liga,ST,63,67,52,66,64,65,50,27,12,8,1431,1,64800000
Ruben Mount,17,Japan,Al Nassr,Premier League,LM,84,85,74,84,88,89,80,26,12,3,1404,2,84660000
Luka Olmo,38,Argentina,AC Milan,Primeira Liga,CF,66,66,70,64,70,61,67,36,12,8,2916,2,65840000
Bruno Nunez,25,Chile,Al Nassr,Eredivisie,RW,75,80,80,81,91,76,70,21,6,0,1575,1,76800000
Neymar Pavard,18,Netherlands,Al Hilal,Saudi League,LB,62,62,59,37,62,65,53,14,5,2,1036,4,61890000
Darwin Di Maria,32,Japan,Al Nassr,Premier League,LM,61,61,63,62,51,55,59,18,8,4,918,2,60760000
Erling Foden,40,England,Al Hilal,Saudi League,LW,89,89,99,81,86,95,99,27,4,8,1377,3,88400000
Vinicius Valverde,23,Colombia,Dortmund,Bundesliga,CAM,75,82,75,78,68,77,82,37,14,4,2257,3,78040000
Lionel Felix,33,Korea,Porto,Premier League,LW,87,87,99,80,99,85,87,40,13,11,2960,4,86990000
Jude Dias,26,Morocco,Real Madrid,Primeira Liga,LW,54,59,47,57,63,52,48,42,13,12,3150,5,56130000
Sergio Mahrez,25,Uruguay,Atletico Madrid,Saudi League,ST,81,82,82,81,80,68,71,25,12,4,1250,5,81500000
Neymar Suarez,22,Japan,Manchester United,Primeira Liga,ST,72,77,74,65,73,82,82,31,12,10,2294,1,74160000
Jan Mount,25,Brazil,Real Madrid,Saudi League,CM,66,75,68,51,56,76,68,48,15,13,4080,5,69850000
Reece Becker,31,Croatia,Bayern Munich,Bundesliga,CAM,89,89,84,94,85,81,76,47,13,10,3807,1,89030000
Harry Pavard,17,Belgium,Inter Milan,Serie A,CAM,73,79,72,79,73,74,57,25,12,6,1850,0,75660000
David Benzema,29,France,Liverpool,Premier League,CF,66,66,47,62,50,62,62,12,5,0,912,2,65670000
Eduardo Junior,27,Portugal,Dortmund,Saudi League,LW,86,91,80,94,77,95,99,30,12,12,1680,2,88060000
Reece Di Maria,27,Morocco,Al Nassr,La Liga,CM,83,92,65,84,83,95,82,50,17,13,4350,3,86910000
Jan Dias,29,Colombia,Barcelona,Primeira Liga,CDM,60,65,75,65,52,71,74,40,13,8,2400,0,62070000
Jude Courtois,33,Germany,PSG,Saudi League,CM,62,62,65,58,67,62,50,23,5,3,2001,4,61590000
Reece Mane,38,England,Chelsea,Ligue 1,RW,57,59,65,42,62,72,69,38,12,10,3040,0,57640000
Pedri Dias,21,Portugal,Liverpool,La Liga,RB,81,86,92,72,76,92,78,41,13,10,2173,4,83230000
Angel Olmo,32,Croatia,Manchester City,Serie A,CM,81,90,97,73,82,90,97,31,11,6,2697,1,84510000
Ilkay Mahrez,19,Portugal,Barcelona,Bundesliga,GK,71,71,62,77,76,78,67,13,2,4,1092,2,70720000
Cristiano Becker,23,Norway,PSG,Serie A,GK,95,99,99,66,99,95,99,41,15,13,2378,2,96890000
Neymar Ronaldo,17,Croatia,Manchester United,La Liga,CB,72,72,75,70,75,73,58,45,11,9,3105,4,72210000
Thiago Olmo,34,Germany,Dortmund,Saudi League,RB,78,81,88,82,81,59,80,27,9,7,2187,3,78970000
Reece Mbappe,26,Spain,Ajax,Serie A,LM,57,57,48,82,47,76,44,12,0,0,1056,1,56480000
Marcus Benzema,40,Argentina,Barcelona,Primeira Liga,LM,71,72,74,65,67,78,56,25,8,8,1850,5,71000000
Manuel Haaland,36,England,Chelsea,Ligue 1,LW,68,72,65,97,67,50,70,35,12,7,2870,4,69480000
Ferran Pavard,22,USA,Al Nassr,Saudi League,RM,63,63,52,41,55,67,67,12,7,4,948,5,62910000
Declan Mahrez,23,Korea,AC Milan,La Liga,CF,77,77,76,71,78,62,90,43,16,12,2709,5,77340000
Federico Mbappe,20,Norway,PSG,Eredivisie,RM,89,89,96,90,79,76,83,10,0,1,630,0,88600000
Cristiano Olmo,36,Brazil,Inter Milan,Bundesliga,CDM,73,74,64,82,69,88,78,31,11,7,2232,3,73230000
Reece Rashford,20,Japan,Inter Milan,Primeira Liga,RW,85,85,81,65,82,85,90,14,5,1,1022,1,84850000
David Courtois,24,England,Arsenal,Bundesliga,ST,62,71,69,61,60,68,71,47,15,10,3055,4,65870000
Kai Felix,29,Netherlands,Bayern Munich,Primeira Liga,RW,87,92,91,82,85,81,97,47,11,9,3008,2,88970000
Darwin Alcantara,28,Belgium,Barcelona,Saudi League,LM,95,99,99,90,92,92,99,37,11,10,2294,3,96590000
Vinicius Suarez,36,Germany,Atletico Madrid,Ligue 1,CDM,63,65,65,81,76,77,65,21,6,5,1743,0,63380000
Kylian Gundogan,32,Uruguay,Al Nassr,Ligue 1,ST,93,94,85,99,82,83,96,13,3,4,767,3,92910000
Reece Reus,29,Italy,Manchester United,Premier League,RW,76,81,57,71,75,79,71,47,13,12,3760,5,78070000
Harry Busquets,32,Portugal,Al Hilal,Ligue 1,GK,50,50,44,66,45,50,80,49,17,12,4165,0,50210000
Vinicius Modric,21,Croatia,Barcelona,Premier League,ST,78,79,71,78,89,62,62,34,10,7,2686,2,78480000
Ruben Camavinga,20,Argentina,Atletico Madrid,Premier League,CAM,52,52,44,55,50,56,63,49,12,13,2793,5,52200000
Ruben Nunez,32,England,Porto,Saudi League,ST,60,65,49,67,83,62,96,18,10,3,972,2,61860000
Josko Jota,37,Norway,Al Hilal,Saudi League,CM,59,64,55,66,69,82,45,43,12,10,2666,1,60860000
Marcus Jota,34,Chile,Chelsea,La Liga,RW,68,68,66,66,62,71,64,12,0,2,984,4,67320000
Bernardo Benzema,38,Korea,Manchester City,La Liga,RW,95,99,82,99,84,91,85,24,6,5,1680,5,96140000
Kevin Mendy,24,Germany,Barcelona,Premier League,RW,59,68,58,50,63,79,39,16,5,2,800,5,62370000
Vinicius Foden,28,Korea,Atletico Madrid,La Liga,ST,73,73,75,78,72,69,73,18,8,5,1440,0,72840000
Ruben Silva,37,Korea,Al Nassr,Bundesliga,LB,72,76,83,61,84,77,69,23,12,4,1932,4,73460000
Thiago Musiala,40,Morocco,Benfica,Saudi League,CAM,80,83,70,90,77,85,65,15,4,5,1080,4,80600000
Luka Musiala,26,France,Sevilla,Premier League,CF,66,68,52,66,85,91,73,31,8,6,1674,1,66680000
Ederson Mahrez,36,Croatia,Bayern Munich,Saudi League,LB,65,70,78,53,64,81,61,36,12,10,2916,4,66880000
Karim Mane,28,Colombia,Bayern Munich,Eredivisie,RW,68,70,63,69,70,63,89,47,13,9,3713,3,68890000
Luis Salah,31,Colombia,Liverpool,Eredivisie,CB,87,92,64,94,85,92,94,29,11,9,2117,0,88930000
Ferran Rice,25,Brazil,AC Milan,La Liga,RW,51,54,40,39,59,49,43,16,6,3,976,4,52000000
Joao Felix,30,Colombia,Barcelona,Serie A,CDM,59,59,61,60,78,52,58,44,16,12,2684,0,59200000
Mason Mane,18,France,Real Madrid,La Liga,RB,67,70,52,58,50,77,74,39,13,8,2223,0,68490000
Thiago Jota,33,USA,Juventus,Serie A,ST,79,89,75,56,77,73,77,45,14,10,3240,5,83040000
Riyad Busquets,31,Chile,Atletico Madrid,Saudi League,CDM,66,76,77,75,71,52,73,11,7,2,968,0,69730000
David De Bruyne,17,Germany,Barcelona,Bundesliga,CF,90,92,97,99,93,99,99,13,7,2,715,1,90810000
Federico Lewandowski,39,Morocco,Al Nassr,Bundesliga,RW,77,78,67,79,76,64,82,16,5,2,1264,4,76870000
Gavi Di Maria,32,Brazil,Benfica,Serie A,LB,77,77,59,87,71,83,79,19,7,4,1311,3,76710000
Diogo Nkunku,28,USA,PSG,Primeira Liga,CF,69,69,76,73,68,68,70,24,5,8,1560,2,68690000
Thiago Messi,32,Italy,Arsenal,Ligue 1,CB,64,64,63,50,62,55,80,24,3,5,1344,0,63510000
Phil Rice,18,Chile,Bayern Munich,Saudi League,ST,61,67,53,86,63,49,67,45,14,12,2295,0,63740000
Mason Benzema,38,Japan,AC Milan,Premier League,RM,73,78,80,48,65,76,74,13,6,4,884,0,74540000
Mohamed Courtois,30,Netherlands,Real Madrid,Saudi League,CAM,60,65,43,71,62,73,41,22,10,6,1144,3,61900000
Cristiano Havertz,38,Chile,Benfica,La Liga,CM,65,68,55,60,68,78,70,15,4,1,765,3,65640000
Reece Kane,35,Korea,Liverpool,Premier League,LB,61,66,60,68,77,60,77,27,8,7,1566,3,62700000
Benjamin Mendy,33,Brazil,Liverpool,La Liga,ST,72,80,58,74,62,75,57,37,12,10,2775,2,75140000
Diogo Felix,26,Uruguay,Dortmund,La Liga,RB,66,70,47,73,68,83,80,44,18,12,3124,5,67980000
